Idsig,A1980,A1981,A1982,A1983,A1984,A1985,A1986,A1987,A1988,A1989,A1990,A1991,A1992,A1993,A1994,A1995,A1996,A1997,A1998,A1999,A2000,A2001,A2002,A2003,A2004,A2005,A2006,A2007,A2008,A2009,A2010,A2011,A2012,A2013,A2014,A2015,A2016,A2017,A2018,A2019,A2020,A2021,A2022,A2023,A2024,A2025,A2026,A2027,A2028,A2029,A2030,A2031,A2032,A2033,A2034,A2035,A2036,A2037,A2038,A2039,A2040,A2041,A2042,A2043,A2044,A2045,A2046,A2047,A2048,A2049,A2050,A2051,A2052,A2053,A2054,A2055,A2056,A2057,A2058,A2059,A2060,A2061,A2062,A2063,A2064,A2065,A2066,A2067,A2068,A2069,A2070,A2071,A2072,A2073,A2074,A2075,A2076,A2077,A2078,A2079,A2080,A2081,A2082,A2083,A2084,A2085,A2086,A2087,A2088,A2089,A2090,A2091,A2092,A2093,A2094,A2095,A2096,A2097,A2098,A2099,A2100
173,1598.622708,1850.540835,2031.344913,1576.297810,1618.176241,1493.906656,1435.202950,1437.253684,1319.965922,1613.613319,1699.314490,1399.356996,1807.740479,1269.768728,1569.651404,1622.475540,1586.323352,1606.294333,1347.602087,1400.452547,1248.381266,1497.525692,1360.002197,1374.748225,1525.316489,1425.378960,1767.536899,1630.124149,1823.164201,1804.101232,1376.694315,1511.343587,1558.433436,1600.835543,1875.052133,1426.617690,1470.578227,1378.675463,1217.115920,1223.931381,1575.538053,1384.861005,1530.524513,1448.380538,1335.100138,1638.138009,1452.362957,1523.752156,1371.858983,1668.809775,1416.550797,1374.542821,1407.306465,1444.038264,1334.082377,1313.092109,1414.585060,1454.992388,1421.037425,1355.168233,1452.337010,1458.334912,1539.053595,1373.688558,1394.116058,1276.020810,1496.386621,1424.142724,1447.362489,1333.091322,1382.344217,1522.567765,904.576980,1338.009039,1419.248678,1281.062560,1392.406656,1297.103180,1405.717003,1417.032706,1336.491993,1270.409661,1254.388637,1309.980148,1179.219611,1131.692963,1342.678434,1418.119706,1306.605533,1319.040893,1231.764603,1458.794948,1266.595048,1360.349267,1131.982598,1192.121586,1441.861649,1600.948823,1200.456196,1267.732563,1408.372454,1065.952247,1285.351832,1168.576463,1355.251840,1419.787265,1192.647115,1330.392656,1277.330394,1335.925127,1196.322564,1268.048165,1069.741014,1417.550137,1220.639996,1192.132617,1322.033317,1374.191435,1124.672142,1115.578599,1086.839827
156,1749.240893,2085.309744,1948.569494,1729.680198,1937.038098,1683.409376,1650.422168,1507.927756,1390.981971,1522.095090,1701.830435,1445.200579,2004.177795,1586.591309,1434.964114,1548.002362,1510.451396,1582.145853,1517.834436,1506.822356,1244.898280,1457.274840,1323.014387,1290.720980,1608.627564,1412.194387,1650.209098,1705.600845,1652.457464,1784.100574,1412.829309,1641.322485,1704.108504,1800.595596,1929.849849,1637.381470,1600.251261,1545.961381,1444.339659,1309.297582,1628.196544,1480.595426,1564.511914,1589.145758,1490.364150,1692.584512,1543.921134,1635.050569,1441.941139,1661.402561,1432.393048,1520.552956,1561.536990,1573.991058,1547.517251,1393.210630,1551.454982,1475.204532,1599.078373,1551.318357,1541.849191,1487.900674,1530.367431,1518.671915,1570.910684,1393.713175,1486.270331,1554.583534,1546.687938,1512.231837,1474.281105,1586.237769,1335.176402,1596.045830,1402.287832,1344.605906,1496.460995,1403.489451,1419.727448,1496.086771,1480.522400,1492.094613,1479.370415,1393.343718,1356.611606,1343.198191,1427.415607,1459.740597,1477.139027,1409.164190,1431.047824,1450.863700,1369.585916,1466.096689,1276.187991,1333.968726,1475.752133,1624.604577,1405.141036,1363.588633,1401.692716,1253.953084,1254.170651,1250.334099,1472.531466,1408.586374,1272.630197,1486.693038,1408.096693,1329.616702,1295.528397,1467.354725,1323.408237,1457.337767,1470.249867,1231.834255,1423.096324,1468.087957,1283.005983,1306.610068,1379.528167
297,1754.627604,1932.018588,1894.549243,1496.025164,1820.213322,1775.731394,1684.132540,1609.382541,1448.387644,1692.715241,1743.005344,1540.734753,1712.271129,1673.038371,1568.592824,1654.681585,1512.563806,1562.484541,1387.224800,1515.147951,1305.515884,1516.434809,1414.915859,1348.923835,1517.486259,1380.938165,1691.657278,1675.295658,1642.522775,1888.328028,1506.663109,1616.855954,1626.658181,1686.758194,1861.629480,1527.430935,1502.129758,1554.595215,1407.207114,1337.984723,1581.931322,1475.517189,1480.350415,1525.761477,1471.567987,1592.535890,1527.852842,1548.087531,1356.868715,1581.199329,1456.491194,1467.383723,1504.752590,1509.165610,1500.953234,1413.478099,1482.798947,1487.611493,1517.237107,1462.431769,1464.768167,1422.200792,1458.165809,1457.294826,1501.595518,1355.766905,1466.901322,1444.153374,1435.253587,1450.292303,1444.635475,1521.626874,1227.571093,1482.251289,1370.031662,1360.092801,1454.893554,1391.896010,1381.345751,1418.233014,1443.317718,1408.240432,1411.042046,1383.595017,1218.974906,1357.979446,1396.553798,1354.298182,1471.998553,1421.778169,1336.022954,1421.084297,1344.534742,1383.372666,1269.580217,1301.822329,1460.147131,1522.011822,1321.677381,1358.326004,1335.032686,1225.864715,1335.592389,1224.027037,1390.140096,1392.873010,1307.092868,1428.722981,1371.779349,1281.978654,1250.275563,1371.519379,1287.362532,1376.457756,1384.193440,1273.887904,1349.051183,1416.366637,1179.620397,1233.586372,1306.946424
147,1654.332820,1759.347768,2010.428076,1644.458231,1731.436235,1559.159645,1507.642722,1510.931723,1269.291788,1451.013853,1683.244393,1383.683703,1974.865102,1312.086384,1454.007843,1613.041714,1535.799043,1662.556490,1485.031224,1458.865178,1251.991236,1459.026444,1339.017740,1311.306603,1596.460088,1430.977422,1657.551210,1736.417351,1685.972256,1801.663808,1318.537177,1437.469804,1608.305216,1603.370203,1840.345893,1412.179097,1426.237622,1334.421102,1183.132672,1116.576026,1459.525169,1323.242536,1435.665113,1397.359523,1321.900045,1551.836009,1340.710300,1443.750747,1300.608356,1541.297526,1318.676515,1355.206698,1399.651372,1370.898963,1324.926596,1218.753439,1318.091247,1347.047155,1362.209243,1311.761104,1395.330602,1342.498877,1453.874286,1322.648381,1332.370367,1189.830126,1374.040859,1364.062722,1388.573136,1307.613761,1335.885353,1474.339840,1119.384679,1284.056587,1338.932278,1193.790167,1328.973288,1210.648895,1312.890472,1380.813137,1297.890256,1245.302881,1302.585488,1203.269317,1190.156855,1093.407630,1266.441334,1351.642072,1276.094602,1244.096503,1177.372938,1353.316378,1219.009092,1288.796140,1096.181988,1123.743090,1355.553222,1470.566393,1203.701378,1137.863179,1289.839383,1051.652054,1134.796379,1107.863427,1287.449643,1331.957834,1116.506509,1259.575666,1198.473500,1232.500381,1144.460610,1223.117421,1075.093427,1335.433824,1195.023719,1112.814913,1266.378207,1312.044276,1124.150630,1122.219443,1120.641730
175,2254.771970,3112.216490,2812.094205,2556.552634,2376.978882,1955.848241,2438.371153,2522.830486,1861.974776,1970.686524,2391.736464,2062.225516,3719.288290,2043.263591,2053.545427,2334.375557,2097.494285,2357.395171,2267.346495,1914.243998,1884.848588,2128.533154,1855.776125,1939.127898,1993.758068,1771.794328,2127.481412,2749.090318,2218.444107,2524.576708,1820.472378,1989.331499,2602.224043,2141.376943,3103.358912,2590.406376,2457.325794,2432.086319,2179.484867,2114.801958,2425.563433,2214.267938,2385.007718,2372.199809,2297.040124,2709.754820,2301.452995,2325.841641,2383.365856,2619.254242,2348.722033,2509.874189,2469.677128,2452.974432,2307.456049,2165.312906,2235.595305,2237.598222,2359.393712,2416.619723,2477.078909,2346.576513,2443.221332,2335.615063,2299.554120,2100.281621,2359.407912,2364.865467,2485.640151,2209.264096,2309.905321,2528.513564,2421.210607,2354.386038,2396.424840,2202.148271,2287.203164,2307.087349,2378.644666,2360.352656,2371.123944,2300.813952,2402.111257,1926.002223,2292.349020,2095.856014,2245.874069,2401.129441,2038.497132,2317.744008,2104.319833,2426.071385,2147.086114,2263.732285,1992.450585,1993.080691,2174.743596,2440.007327,2113.516537,1959.545826,2338.229392,1907.025288,2008.869353,2068.264195,2497.959390,2353.796092,2000.861679,2180.562683,2083.362692,2163.545801,2078.489775,1990.908629,1965.987605,2416.572462,2193.335939,1968.299439,2285.321507,2262.631842,1999.343092,2081.954166,2151.907742
144,1736.067902,1900.570741,2114.505189,1666.720297,1746.685942,1623.696872,1490.934693,1512.695665,1375.817423,1662.387057,1769.486604,1450.328642,1855.969581,1400.825003,1558.462011,1677.386590,1598.060923,1694.245921,1411.886884,1490.494513,1310.608203,1528.574108,1420.368206,1403.439870,1653.160966,1499.519875,1791.360415,1725.294687,1843.467955,1904.869480,1476.000194,1571.970007,1651.744777,1680.705472,1947.572243,1489.624357,1481.443387,1445.632110,1266.179349,1220.126789,1594.811370,1421.385889,1533.688852,1500.569263,1395.928615,1691.301569,1484.629736,1544.846148,1353.197471,1677.295012,1423.915017,1416.852434,1436.854825,1469.048709,1408.587147,1335.107357,1469.475882,1497.046094,1485.774475,1397.178241,1473.235742,1455.603186,1565.541198,1416.239258,1415.827114,1301.123183,1513.213920,1443.995830,1457.951176,1401.741674,1411.684106,1550.906095,826.174221,1401.623216,1423.386505,1305.608356,1453.663166,1321.368465,1355.953880,1458.386750,1395.843221,1325.714099,1347.856370,1346.723705,1195.121810,1196.416640,1339.861664,1432.952650,1389.862976,1360.151749,1269.148721,1455.752092,1295.027027,1384.396674,1168.546116,1244.279595,1470.703604,1691.226575,1258.580769,1284.792591,1414.273230,1126.459330,1307.749423,1184.559605,1348.089157,1428.216870,1223.239002,1358.490906,1328.071808,1356.672798,1225.077732,1333.520744,1132.245092,1419.282185,1276.838800,1205.176322,1351.371038,1408.519564,1161.339550,1172.691436,1163.775553
292,2006.272028,2876.836611,2106.805441,2040.903527,2456.698512,1793.591468,1978.005964,1952.620836,2098.996147,1732.581338,2188.202931,1744.820174,2561.223479,2184.388951,1730.385983,1612.734359,1898.868813,1698.122681,1849.233625,1624.043955,1644.564583,1917.968953,1550.723024,1480.900286,2017.029008,1770.350200,2007.936168,1861.388628,1821.218366,1871.624138,1509.371936,2108.077500,1985.769417,2054.027530,2082.232434,2092.931768,2088.555413,2048.566428,1967.394344,1662.480205,2013.382518,1721.844231,1993.855849,1857.166379,1837.766752,2229.737070,1823.109774,2042.095688,1977.159388,2270.637719,1902.061217,2141.026151,2071.099557,2120.769586,1974.552547,1805.735832,1946.379047,1916.366510,1926.861138,2021.318377,2209.526473,2015.007870,2049.859110,1958.993590,1872.046895,1859.935831,2027.416506,1927.138200,2265.037914,1762.320696,1934.266273,2028.195702,1700.250350,2018.403030,2053.359621,1800.646807,1944.612468,2000.191860,1951.509220,1966.847913,1907.253124,2123.958082,1894.737128,1578.479089,2023.563401,1562.709379,1832.288854,2115.059974,1666.293867,1911.179109,1723.541696,2059.795529,1623.086165,1862.686787,1645.646579,1666.792633,1782.656323,2273.136420,1733.703161,1591.117228,2003.173765,1652.052698,1639.375133,1670.157914,2170.865761,1919.379543,1713.058589,2005.314406,1696.656338,1647.213484,1847.732168,1587.901149,1506.054311,2043.059916,1785.261625,1540.610609,1943.142533,2014.542929,1608.233488,1712.272820,1775.731410
155,1695.825645,1898.285872,1921.900979,1561.970921,1820.409398,1717.293452,1624.241304,1550.662057,1361.098999,1548.277529,1683.952378,1469.993081,1819.094349,1523.719587,1464.046227,1597.242897,1516.595913,1567.752595,1447.323774,1490.543752,1240.467173,1506.145871,1366.418807,1313.820891,1583.524730,1398.222399,1661.145594,1702.571078,1673.043207,1807.568918,1390.300219,1520.620695,1578.094406,1655.604701,1809.044481,1444.560208,1409.334714,1406.790644,1273.467175,1163.120767,1472.484946,1363.024978,1418.476095,1440.996957,1382.157674,1544.188647,1408.151311,1462.358916,1271.375672,1497.435019,1335.635095,1345.348871,1373.501045,1408.666462,1375.130126,1250.091316,1416.759342,1362.334879,1472.488859,1350.570925,1363.226735,1354.132213,1425.848129,1364.496830,1384.667265,1230.944179,1362.579138,1366.563075,1345.526184,1348.672671,1327.944860,1433.044553,1076.902385,1394.611286,1279.853724,1190.577585,1390.755870,1258.851856,1287.556543,1339.905939,1325.759812,1317.424541,1321.476484,1298.872731,1142.616073,1206.130947,1275.285474,1282.901452,1368.694345,1305.130338,1250.520225,1324.618462,1236.433057,1309.870474,1132.345293,1221.975241,1350.860148,1487.035557,1261.005535,1262.491724,1286.539182,1132.795760,1171.340494,1105.402756,1268.982562,1281.030654,1159.478392,1295.942703,1279.159803,1203.120512,1135.787546,1319.777822,1169.027847,1288.103985,1292.233291,1123.036510,1285.503529,1337.358901,1106.568494,1147.634478,1196.066303
153,1936.078355,2419.736650,2027.158046,1922.609086,2167.636388,1757.289878,1818.673469,1737.685457,1673.581655,1646.397236,1893.685936,1579.926396,2257.245833,1849.207391,1657.625462,1667.191291,1697.310955,1758.660030,1715.830679,1638.787090,1511.649619,1718.725878,1519.747218,1504.874082,1826.727356,1629.498449,1810.330201,1817.093537,1805.668956,1963.844035,1578.442902,1919.918713,1939.498753,2077.518748,2120.067485,1951.383905,1968.262835,1870.943999,1769.311457,1559.094626,1972.086498,1672.902804,1864.608141,1834.406673,1726.777079,2099.108880,1774.302987,1916.045469,1778.491428,2041.502663,1772.271362,1907.347055,1896.120563,1938.056835,1854.422827,1679.303229,1847.503862,1772.948497,1838.321045,1916.845492,1969.326416,1826.828096,1837.018294,1832.285119,1842.208161,1715.764647,1868.214456,1814.136629,1994.201679,1791.026148,1791.298467,1876.862488,1594.480095,1912.067355,1858.496497,1652.668817,1811.179984,1769.473538,1747.818407,1861.495976,1766.410556,1875.256304,1781.239195,1554.729794,1741.300794,1547.946979,1712.412676,1879.829217,1618.165403,1746.780636,1613.368754,1864.705450,1583.797657,1700.834108,1515.485925,1532.224133,1723.709626,2082.561153,1636.232090,1521.871294,1772.799110,1511.297790,1557.573283,1487.736774,1930.316670,1792.502281,1592.461184,1796.103306,1608.423442,1561.117703,1670.361480,1653.354028,1450.055270,1851.837711,1668.866224,1450.570428,1740.418880,1827.805189,1509.276583,1597.022808,1590.289981
157,1898.598099,2064.409823,2004.603095,1626.476642,2026.578200,1876.276964,1792.966540,1697.892253,1524.295136,1712.689546,1812.103950,1601.047697,1866.725419,1740.179449,1611.652721,1685.017372,1562.659148,1662.258174,1539.596344,1670.453863,1356.937588,1574.207371,1491.929369,1405.917799,1640.186310,1464.490466,1770.227715,1826.938002,1738.580052,2010.224992,1590.807952,1775.244501,1809.249758,1868.023673,2018.576275,1668.470617,1636.049372,1682.973695,1524.459320,1442.792653,1729.173066,1563.210919,1598.653716,1672.462244,1582.044359,1749.969278,1669.727880,1674.707195,1483.786159,1727.377431,1547.424555,1617.917609,1651.673543,1655.619020,1632.234666,1529.019533,1617.317400,1610.897213,1633.824749,1617.657786,1630.850156,1552.305697,1596.802173,1595.504648,1645.857608,1487.875552,1611.538815,1567.684100,1609.470445,1594.172864,1575.273203,1642.949686,1317.759510,1627.581909,1509.509520,1457.752414,1593.788422,1514.360693,1502.504220,1562.168226,1581.618574,1542.470260,1562.412192,1509.890560,1362.808314,1470.727161,1536.579531,1500.208808,1573.748575,1559.474933,1452.369494,1579.485607,1474.854462,1500.541683,1365.986075,1400.029400,1580.201613,1693.410505,1442.137199,1480.269995,1462.403544,1363.199330,1478.637235,1297.802262,1567.228305,1532.384501,1444.877933,1574.314284,1486.845079,1402.531608,1359.622479,1514.181220,1368.255158,1528.825533,1498.186702,1373.184064,1450.661947,1568.283077,1312.620428,1363.099016,1409.918255
